bmi,age,gender,activity_level,fitness_goal,workout_category,diet_category,fitness_level
21.9,40,1,0,2,1,1,0
22.6,33,0,2,0,3,0,1
26.0,42,1,1,4,1,3,1
25.7,53,1,1,3,4,4,0
19.3,32,1,1,0,2,0,1
24.1,32,0,1,4,4,0,0
23.4,53,1,2,2,0,3,1
22.8,44,1,4,4,4,2,2
25.5,29,1,1,4,2,2,0
24.8,41,0,1,0,0,1,1
25.0,29,0,1,0,2,2,1
20.6,29,1,4,2,0,3,2
21.3,37,0,0,4,4,2,0
23.4,15,1,1,4,2,1,0
20.8,15,0,1,2,1,2,1
26.7,28,0,1,0,3,1,0
20.9,22,1,0,0,2,0,0
21.0,38,1,1,3,2,4,1
26.4,24,1,0,2,1,3,0
20.4,18,0,0,2,1,2,0
28.5,52,1,3,2,3,2,2
33.9,32,0,3,3,3,4,2
24.0,35,0,1,4,2,3,0
34.0,17,1,2,1,1,2,2
29.9,28,0,3,0,2,2,2
20.1,36,1,3,3,2,4,1
19.0,21,0,2,4,1,3,1
30.7,39,1,4,1,2,2,2
28.9,27,0,1,0,4,1,0
24.7,31,0,4,0,2,0,2
23.4,27,1,4,0,2,0,2
27.7,57,0,0,0,3,2,0
28.7,34,1,0,2,2,3,0
20.2,22,0,1,0,0,2,1
22.8,44,0,2,2,1,3,1
28.4,20,0,0,0,0,0,0
24.9,37,1,3,0,2,1,2
23.0,15,1,1,2,1,2,1
29.7,19,1,4,2,1,3,2
25.2,37,1,1,0,0,0,0
22.5,43,1,0,3,2,1,0
21.9,37,0,2,0,3,4,1
26.6,33,0,4,1,1,3,2
27.1,31,1,2,2,1,2,2
23.5,17,0,1,4,4,4,0
24.0,26,0,2,2,2,3,1
20.7,29,0,2,1,1,1,1
21.5,47,0,1,2,1,1,1
26.4,39,1,4,1,1,3,2
25.0,15,0,2,3,0,3,1
20.8,38,1,2,0,2,0,1
25.5,30,1,1,3,2,1,0
27.1,26,0,3,0,0,0,2
24.9,42,1,2,4,2,2,1
29.0,47,0,0,1,1,2,0
25.4,46,0,4,4,4,4,2
22.8,24,0,2,1,1,1,2
21.9,31,1,1,0,2,3,1
22.6,38,1,0,0,0,2,0
